null,null,1,sr34,tr11,false,1034,3334,1603187865598
null,null,2,ty42,tr11,false,1086,4882,1603187870481
null,null,3,tb23,sg22,false,4250,6406,1603187876887
null,null,4,sb13,ry33,true,890,6170,1603187883058
null,null,5,tg34,cb44,true,1078,6718,1603187889777
null,null,6,cg31,cb44,false,1023,5077,1603187894855
null,null,7,rb12,sg22,true,1343,6211,1603187901066
null,null,8,rr24,cb44,true,888,2750,1603187903816
null,null,9,cy21,tr11,true,867,2094,1603187905911
null,null,10,sy14,cb44,true,960,2209,1603187908120
null,null,11,rg41,tr11,true,835,1899,1603187910021
null,null,12,sr43,ry33,true,943,2021,1603187912042
null,null,13,cy12,sg22,true,873,1857,1603187913901
null,null,14,sy41,tr11,true,912,1890,1603187915792
null,null,15,tg43,ry33,true,777,1819,1603187917612
null,null,16,rr42,sg22,true,820,1783,1603187919395
null,null,17,rb21,tr11,true,810,1802,1603187921198
null,null,18,ty24,cb44,true,843,1828,1603187923027
null,null,19,cr23,ry33,true,779,1648,1603187924675
null,null,20,sb31,tr11,true,734,1467,1603187926143
null,null,21,tb32,sg22,true,726,1595,1603187927738
null,null,22,cr32,sg22,true,671,1492,1603187929230
null,null,23,cg13,ry33,true,664,1484,1603187930714
null,null,24,rg41,tr11,true,632,1311,1603187932025
