null,null,1,cr32,ry33,false,3592,73306,1613667848434
null,null,2,cy21,ry33,false,1468,6690,1613667855127
null,null,3,cg31,cb44,false,2102,15676,1613667870804
null,null,4,rb12,sg22,true,7310,11159,1613667881964
null,null,5,rg14,cb44,true,618,9350,1613667891315
null,null,6,rb21,tr11,true,578,2143,1613667893459
null,null,7,tb32,sg22,true,555,2111,1613667895571
null,null,8,tg34,cb44,true,436,1950,1613667897522
null,null,9,sb13,ry33,true,627,1951,1613667899474
null,null,10,rr24,cb44,true,623,2293,1613667901768
null,null,11,ty24,cb44,true,656,2132,1613667903901
null,null,12,rr42,sg22,true,547,2223,1613667906125
null,null,13,sr34,cb44,true,415,1829,1613667907955
null,null,14,cr23,ry33,true,375,1819,1613667909775
null,null,15,ty42,sg22,true,556,1756,1613667911532
null,null,16,sy41,tr11,true,512,1689,1613667913222
null,null,17,sy14,cb44,true,435,2454,1613667915677
null,null,18,rg41,tr11,true,703,1850,1613667917528
null,null,19,cg13,ry33,true,466,1647,1613667919176
null,null,20,sb31,sg22,false,560,1707,1613667920884
null,null,21,tb23,ry33,true,356,1578,1613667922463
null,null,22,tg43,ry33,true,467,1776,1613667924240
null,null,23,sr43,ry33,true,949,2081,1613667926322
null,null,24,sb13,ry33,true,513,1495,1613667927819
null,null,25,ty42,sg22,true,482,3134,1613667930954
null,null,26,sy14,cb44,true,502,1535,1613667932490
null,null,27,cy12,sg22,true,684,2031,1613667934523
null,null,28,cg31,tr11,true,454,2667,1613667937191
null,null,29,rg41,tr11,true,480,1658,1613667938850
null,null,30,sb31,tr11,true,449,1617,1613667940468
null,null,31,rr24,cb44,true,691,2040,1613667942510
null,null,32,cy21,tr11,true,701,2608,1613667945119
null,null,33,ty24,cb44,true,473,1689,1613667946809
null,null,34,tg43,ry33,true,801,1859,1613667948669
null,null,35,tg34,cb44,true,611,1758,1613667950428
null,null,36,tb32,sg22,true,484,2022,1613667952451
null,null,37,rg14,cb44,true,434,2082,1613667954534
null,null,38,sr43,div3,true,495,1576,1613667956112
