wcst;329422;1;1;explore;n;tr1;sy1;true;1377;4850
wcst;329422;2;2;explore;n;qy3;cr3;true;1081;3615
wcst;329422;3;3;explore;n;tr1;ty1;true;1055;2621
wcst;329422;4;4;explore;n;qy3;cy3;true;1107;2733
wcst;329422;5;5;explore;n;sg2;sb2;true;1418;3175
wcst;329422;6;6;explore;n;qy3;cb3;true;839;2202
wcst;329422;7;7;success;n;cb4;cr4;true;1024;2734
wcst;329422;8;1;explore;c;sg2;qr2;false;1052;2591
wcst;329422;9;2;explore;c;cb4;ty4;false;1706;5548
wcst;329422;10;3;explore;c;cb4;qb2;true;955;2518
wcst;329422;11;4;explore;c;tr1;qr3;true;1223;5214
wcst;329422;12;5;explore;c;qy3;qy2;true;949;2542
wcst;329422;13;6;explore;c;qy3;cy2;true;1254;2701
wcst;329422;14;7;explore;c;cb4;qb4;true;1139;2549
wcst;329422;15;8;explore;c;cb4;tb3;true;1105;3135
wcst;329422;16;9;explore;c;cb4;qb3;true;1159;2869
wcst;329422;17;10;explore;c;sg2;qg2;true;969;2877
wcst;329422;18;11;success;c;tr1;qr1;true;1066;2848
wcst;329422;19;1;explore;s;sg2;qg3;false;1308;2988
wcst;329422;20;2;explore;s;cb4;tb4;false;1116;2773
wcst;329422;21;3;explore;s;sg2;sr4;true;1532;4574
wcst;329422;22;4;explore;s;tr1;tr3;true;900;3172
wcst;329422;23;5;explore;s;cb4;cb1;true;1061;3596
wcst;329422;24;6;explore;s;tr1;tg3;true;993;2613
wcst;329422;25;7;explore;s;tr1;tg2;true;1100;2652
wcst;329422;26;8;explore;s;qy3;qy1;true;988;2318
wcst;329422;27;9;explore;s;sg2;sg1;true;1029;2637
wcst;329422;28;10;success;s;sg2;sr3;true;944;2447
wcst;329422;29;1;explore;sp;cb4;cg3;false;1197;5149
wcst;329422;30;2;explore;sp;tr1;cg1;false;1031;3469
wcst;329422;31;3;explore;sp;sg2;sy2;false;1330;3869
wcst;329422;32;4;explore;sp;qy3;cy4;true;971;2725
wcst;329422;33;5;explore;sp;sg2;sg4;false;1510;3253
wcst;329422;34;6;explore;sp;sg2;tb2;false;911;2502
wcst;329422;35;7;explore;sp;cb4;tg4;false;908;2492
wcst;329422;36;8;explore;sp;sg2;sg3;false;930;10317
wcst;329422;37;9;explore;sp;tr1;ty3;false;978;3302
wcst;329422;38;10;explore;sp;cb4;qy4;false;1335;2718
wcst;329422;39;11;explore;sp;cb4;cb2;false;946;2494
wcst;329422;40;12;explore;sp;tr1;sr1;false;1546;3365
wcst;329422;41;13;explore;sp;cb4;qr4;false;1845;3364
wcst;329422;42;14;explore;sp;tr1;tr4;false;894;2838
wcst;329422;43;15;explore;sp;sg2;tr2;false;867;3157
wcst;329422;44;16;explore;sp;qy3;qb1;true;948;2511
wcst;329422;45;17;explore;sp;sg2;sr2;false;795;5045
wcst;329422;46;18;explore;sp;sg2;cr2;false;992;2341
wcst;329422;47;19;explore;sp;tr1;cr1;false;623;1891
