session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5fc0c082db042e186bb4d163,5d88884b6ad33a00187854e7,APPROVED,2020-11-27 09:01:59.289000,2020-11-27 09:11:13.080000,553.791,37,379,0,100,2020-12-15 13:43:52.249000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c0886e4c4c59412a9210,5e0f31a34fa02a656250044a,RETURNED,2020-11-27 09:02:00.286000,,13062873.123907,48,375,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0c0888aaef94eb366b775,5f6b3ba9c6e2f22337d854bc,APPROVED,2020-11-27 09:01:59.977000,2020-11-27 09:18:43.562000,1003.585,24,182,1,100,2020-12-15 13:43:56.204000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,DATA EXPIRED,United Kingdom,Female,No
5fc0c0889f656507f6b40453,5ab293bba3ba7a0001b3dd38,APPROVED,2020-11-27 09:02:06.124000,2020-11-27 09:04:14.924000,128.8,27,683,1,100,2020-12-15 13:43:59.466000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5fc0c0916136f0595c8e390b,5e05659953b56ef98d539436,APPROVED,2020-11-27 09:02:13.973000,2020-11-27 09:06:44.648000,270.675,23,84,2,97,2020-12-15 13:44:04.386000,5E5B3080,Australia,Australia,Full-Time,English,English,Australia,Female,Yes
5fc0c095c039c14ee6c80e0c,5e28e735ea776009d4d15c34,APPROVED,2020-11-27 09:11:43.537000,2020-11-27 09:35:28.507000,1424.97,35,516,2,100,2020-12-15 13:44:07.528000,5E5B3080,Nigeria,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5fc0c096954a2258c1a2602e,5c1041a209e7c20001f1f128,RETURNED,2020-11-27 09:02:26.066000,,13062847.381247,33,637,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc0c09c5716ac076b57e012,5e2784d4d8ae980b498d8d81,APPROVED,2020-11-27 09:02:20.292000,2020-11-27 09:09:26.991000,426.699,20,48,1,100,2020-12-15 13:44:11.410000,5E5B3080,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No
5fc0c09cd59fcd08586a1c2a,5f4580ba9ae79f195a9ece38,APPROVED,2020-11-27 09:06:23.620000,2020-11-27 09:13:59.007000,455.387,30,362,3,100,2020-12-15 13:44:14.515000,5E5B3080,United States,United States,Full-Time,English,DATA EXPIRED,United States,Female,No
5fc0c2196ffa2108c83d6d75,5f589f7bce1c040113809f12,APPROVED,2020-11-27 09:08:41.002000,2020-11-27 09:21:35.198000,774.196,28,389,1,100,2020-12-15 13:44:18.266000,5E5B3080,United States,United States,Full-Time,English,DATA EXPIRED,United States,Female,No
